Hour,Zombies,Alerts,Unalerts
0,2,2,1996,
1,3,4,1993,
2,4,7,1989,
3,5,11,1984,
4,5,18,1977,
5,5,25,1970,
6,6,32,1962,
7,6,38,1956,
8,8,46,1946,
9,9,57,1934,
10,9,68,1923,
11,9,81,1910,
12,10,97,1893,
13,13,112,1875,
14,15,127,1858,
15,17,145,1838,
16,18,166,1816,
17,19,184,1797,
18,19,211,1770,
19,19,236,1745,
20,19,262,1719,
21,19,296,1685,
22,20,333,1647,
23,21,362,1617,
24,21,391,1588,
25,23,435,1542,
26,24,464,1512,
27,26,510,1464,
28,28,563,1409,
29,31,612,1357,
30,33,670,1297,
31,38,721,1241,
32,41,772,1187,
33,41,837,1122,
34,44,901,1055,
35,47,965,988,
36,48,1033,919,
37,52,1095,853,
38,58,1160,782,
39,60,1227,713,
40,64,1307,629,
41,65,1384,551,
42,67,1454,479,
43,71,1543,386,
44,73,1640,287,
45,74,1730,196,
46,74,1835,91,
47,74,1926,0,
48,75,1925,0,
49,75,1925,0,
50,75,1925,0,
51,76,1924,0,
52,77,1923,0,
53,79,1921,0,
54,80,1920,0,
55,80,1920,0,
56,82,1918,0,
57,83,1917,0,
58,83,1917,0,
59,84,1916,0,
60,85,1915,0,
61,87,1913,0,
62,88,1912,0,
63,88,1912,0,
64,88,1912,0,
65,88,1912,0,
66,90,1910,0,
67,90,1910,0,
68,91,1909,0,
69,93,1907,0,
70,95,1905,0,
71,96,1904,0,
72,98,1902,0,
73,98,1902,0,
74,98,1902,0,
75,101,1899,0,
76,102,1898,0,
77,103,1897,0,
78,104,1896,0,
79,106,1894,0,
80,106,1894,0,
81,107,1893,0,
82,107,1893,0,
83,108,1892,0,
84,112,1888,0,
85,115,1885,0,
86,117,1883,0,
87,119,1881,0,
88,120,1880,0,
89,122,1878,0,
90,124,1876,0,
91,127,1873,0,
92,127,1873,0,
93,131,1869,0,
94,134,1866,0,
95,134,1866,0,
96,134,1866,0,
97,137,1863,0,
98,140,1860,0,
99,140,1860,0,
100,142,1858,0,
101,143,1857,0,
102,145,1855,0,
103,148,1852,0,
104,149,1851,0,
105,150,1850,0,
106,153,1847,0,
107,154,1846,0,
108,155,1845,0,
109,156,1844,0,
110,157,1843,0,
111,157,1843,0,
112,158,1842,0,
113,158,1842,0,
114,160,1840,0,
115,161,1839,0,
116,162,1838,0,
117,166,1834,0,
118,167,1833,0,
119,168,1832,0,
120,170,1830,0,
121,170,1830,0,
122,172,1828,0,
123,173,1827,0,
124,176,1824,0,
125,178,1822,0,
126,179,1821,0,
127,181,1819,0,
128,183,1817,0,
129,184,1816,0,
130,185,1815,0,
131,187,1813,0,
132,190,1810,0,
133,191,1809,0,
134,192,1808,0,
135,192,1808,0,
136,193,1807,0,
137,194,1806,0,
138,195,1805,0,
139,197,1803,0,
140,200,1800,0,
141,201,1799,0,
142,203,1797,0,
143,205,1795,0,
144,208,1792,0,
145,211,1789,0,
146,211,1789,0,
147,211,1789,0,
148,212,1788,0,
149,215,1785,0,
150,220,1780,0,
151,222,1778,0,
152,222,1778,0,
153,225,1775,0,
154,226,1774,0,
155,226,1774,0,
156,228,1772,0,
157,231,1769,0,
158,233,1767,0,
159,235,1765,0,
160,239,1761,0,
161,240,1760,0,
162,241,1759,0,
163,242,1758,0,
164,243,1757,0,
165,243,1757,0,
166,246,1754,0,
167,249,1751,0,
168,252,1748,0,
169,254,1746,0,
170,256,1744,0,
171,257,1743,0,
172,257,1743,0,
173,259,1741,0,
174,264,1736,0,
175,266,1734,0,
176,269,1731,0,
177,272,1728,0,
178,273,1727,0,
179,275,1725,0,
180,277,1723,0,
181,280,1720,0,
182,287,1713,0,
183,289,1711,0,
184,294,1706,0,
185,298,1702,0,
186,299,1701,0,
187,301,1699,0,
188,304,1696,0,
189,305,1695,0,
190,308,1692,0,
191,311,1689,0,
192,314,1686,0,
193,315,1685,0,
194,321,1679,0,
195,324,1676,0,
196,330,1670,0,
197,336,1664,0,
198,339,1661,0,
199,342,1658,0,
200,344,1656,0,
201,347,1653,0,
202,353,1647,0,
203,354,1646,0,
204,355,1645,0,
205,357,1643,0,
206,362,1638,0,
207,366,1634,0,
208,368,1632,0,
209,368,1632,0,
210,372,1628,0,
211,377,1623,0,
212,381,1619,0,
213,386,1614,0,
214,391,1609,0,
215,393,1607,0,
216,397,1603,0,
217,400,1600,0,
218,404,1596,0,
219,407,1593,0,
220,413,1587,0,
221,420,1580,0,
222,426,1574,0,
223,435,1565,0,
224,440,1560,0,
225,447,1553,0,
226,450,1550,0,
227,455,1545,0,
228,460,1540,0,
229,466,1534,0,
230,471,1529,0,
231,475,1525,0,
232,480,1520,0,
233,484,1516,0,
234,486,1514,0,
235,490,1510,0,
236,497,1503,0,
237,503,1497,0,
238,509,1491,0,
239,511,1489,0,
